author,study,subgroup,ESID,publication,grade1,grade2,grade3,student_ability,low,student_language,,girl,boy,missing,black,hispanic,white,asian,native,other,missing2,ses,us,country,english,languageother,ck_measure,specificity,ck_format,ck_re,ck_reliability,ck_reliability_name,ck_normed,comp_type,comp_measure,comp_format,comp_reliability,comp_reliability_name,comp_normed,distal,noalignment,samplesize,corr,table,ckre,compre,ckre2,compre2
"Mikeska, 2010",89,89,199,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(implicit),1,0.743,cohen's kappa,0,0,0,84,0.421,,0,0,1,1
"Mikeska, 2010",89,89,200,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(implicit),1,0.743,cohen's kappa,0,0,0,84,0.455,,0,0,1,1
"Mikeska, 2010",89,89,201,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(implicit),1,0.743,cohen's kappa,0,0,0,84,0.56,,0,0,1,1
"Miller, 2009",90,90,202,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,Cooking knowledge,1,0,0.76,0.76,Cronbach's alpha,0,RC,oral recall: Expository texts,2,0.93,,0,0,0,279,0.298,table 2,0,0,1,1
"Miller, 2009",90,90,203,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,Cooking knowledge,1,0,0.76,0.76,Cronbach's alpha,0,RC,oral recall: Recipes,2,0.93,,0,0,0,279,0.32,,0,0,1,1
"Murphy, 2017",94,94,204,0,4.55,1,0,0,,,,34,28,,,,,,,,,3,1,,1,,Topic knowledge measure,1,4,0.89,0.89,IRR,0,RC,Reading comprehension measure,0,,,0,0,0,62,0.15,table 4,0,,1,0
"Nell et al., 2018",95,95,205,0,13,4,2,,,,,106,94,,,,,,,,,3,0,Netherlands,0,Dutch,Domain Knowledge Test,0,0,0.76,0.76,Cronbach's alpha,0,RC,General Reading Skill Test,4,0.79,Cronbach's alpha,0,1,1,200,0.4,table 5,0,0,1,1
"Nell et al., 2018",95,95,206,0,13,4,2,,,,,106,94,,,,,,,,,3,0,Netherlands,0,Dutch,Topic Knowledge Test,1,0,0.75,0.75,Cronbach's alpha,0,RC,General Reading Skill Test,4,0.79,Cronbach's alpha,0,1,1,200,0.4,,0,0,1,1
"Nell et al., 2018",95,95,207,0,13,4,2,,,,,106,94,,,,,,,,,3,0,Netherlands,0,Dutch,Domain Knowledge Test,0,0,0.76,0.76,Cronbach's alpha,0,RC,Topic-Related Reading Skill Test,4,0.82,Cronbach's alpha,0,0,0,200,0.56,,0,0,1,1
"Nell et al., 2018",95,95,208,0,13,4,2,,,,,106,94,,,,,,,,,3,0,Netherlands,0,Dutch,Topic Knowledge Test,1,0,0.75,0.75,Cronbach's alpha,0,RC,Topic-Related Reading Skill Test,4,0.82,Cronbach's alpha,0,0,0,200,0.58,,0,0,1,1
